Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,926,False
Latimeria chalumnae,411.9,3627,False
Latimeria chalumnae,411.9,3602,False
Latimeria chalumnae,411.9,5705,False
Latimeria chalumnae,411.9,2208,False
Latimeria chalumnae,411.9,15065,False
Latimeria chalumnae,411.9,12857,False
Latimeria chalumnae,411.9,3667,False
Latimeria chalumnae,411.9,15020,False
Latimeria chalumnae,411.9,15022,False
Latimeria chalumnae,411.9,15079,False
Latimeria chalumnae,411.9,3673,False
Latimeria chalumnae,411.9,3678,False
Latimeria chalumnae,411.9,3684,False
Latimeria chalumnae,411.9,3686,False
Latimeria chalumnae,411.9,14387,False
Latimeria chalumnae,411.9,15074,False
Latimeria chalumnae,411.9,3674,False
Latimeria chalumnae,411.9,3681,False
Latimeria chalumnae,411.9,3683,False
Latimeria chalumnae,411.9,3670,False
Latimeria chalumnae,411.9,3671,False
Latimeria chalumnae,411.9,3679,False
Latimeria chalumnae,411.9,3682,False
Latimeria chalumnae,411.9,3692,False
Latimeria chalumnae,411.9,3666,False
Latimeria chalumnae,411.9,3668,False
Latimeria chalumnae,411.9,3669,False
Latimeria chalumnae,411.9,3672,False
Latimeria chalumnae,411.9,3675,False
Latimeria chalumnae,411.9,3676,False
Latimeria chalumnae,411.9,3677,False
Latimeria chalumnae,411.9,3680,False
Latimeria chalumnae,411.9,3685,False
Latimeria chalumnae,411.9,3687,False
Latimeria chalumnae,411.9,3688,False
Latimeria chalumnae,411.9,3689,False
Latimeria chalumnae,411.9,3690,False
Latimeria chalumnae,411.9,3691,False
Latimeria chalumnae,411.9,3693,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,926,False
Nanorana parkeri,355.7,3627,False
Nanorana parkeri,355.7,3602,False
Nanorana parkeri,355.7,5705,False
Nanorana parkeri,355.7,2208,False
Nanorana parkeri,355.7,15065,False
Nanorana parkeri,355.7,12857,False
Nanorana parkeri,355.7,3667,False
Nanorana parkeri,355.7,15020,False
Nanorana parkeri,355.7,15022,False
Nanorana parkeri,355.7,15079,False
Nanorana parkeri,355.7,3673,False
Nanorana parkeri,355.7,3678,False
Nanorana parkeri,355.7,3684,False
Nanorana parkeri,355.7,3686,False
Nanorana parkeri,355.7,14387,False
Nanorana parkeri,355.7,15074,False
Nanorana parkeri,355.7,3674,False
Nanorana parkeri,355.7,3681,False
Nanorana parkeri,355.7,3683,False
Nanorana parkeri,355.7,3670,False
Nanorana parkeri,355.7,3671,False
Nanorana parkeri,355.7,3679,False
Nanorana parkeri,355.7,3682,False
Nanorana parkeri,355.7,3692,False
Nanorana parkeri,355.7,3666,False
Nanorana parkeri,355.7,3668,False
Nanorana parkeri,355.7,3669,False
Nanorana parkeri,355.7,3672,False
Nanorana parkeri,355.7,3675,False
Nanorana parkeri,355.7,3676,False
Nanorana parkeri,355.7,3677,False
Nanorana parkeri,355.7,3680,False
Nanorana parkeri,355.7,3685,False
Nanorana parkeri,355.7,3687,False
Nanorana parkeri,355.7,3688,False
Nanorana parkeri,355.7,3689,False
Nanorana parkeri,355.7,3690,False
Nanorana parkeri,355.7,3691,False
Nanorana parkeri,355.7,3693,False
Xenopus laevi,355.7,4221,False
Xenopus laevi,355.7,8903,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,926,False
Xenopus laevi,355.7,3627,False
Xenopus laevi,355.7,3602,False
Xenopus laevi,355.7,5705,False
Xenopus laevi,355.7,2208,False
Xenopus laevi,355.7,15065,False
Xenopus laevi,355.7,12857,False
Xenopus laevi,355.7,3667,False
Xenopus laevi,355.7,15020,False
Xenopus laevi,355.7,15022,False
Xenopus laevi,355.7,15079,False
Xenopus laevi,355.7,3673,False
Xenopus laevi,355.7,3678,False
Xenopus laevi,355.7,3684,False
Xenopus laevi,355.7,3686,False
Xenopus laevi,355.7,14387,False
Xenopus laevi,355.7,15074,False
Xenopus laevi,355.7,3674,False
Xenopus laevi,355.7,3681,False
Xenopus laevi,355.7,3683,False
Xenopus laevi,355.7,3670,False
Xenopus laevi,355.7,3671,False
Xenopus laevi,355.7,3679,False
Xenopus laevi,355.7,3682,False
Xenopus laevi,355.7,3692,False
Xenopus laevi,355.7,3666,False
Xenopus laevi,355.7,3668,False
Xenopus laevi,355.7,3669,False
Xenopus laevi,355.7,3672,False
Xenopus laevi,355.7,3675,False
Xenopus laevi,355.7,3676,False
Xenopus laevi,355.7,3677,False
Xenopus laevi,355.7,3680,False
Xenopus laevi,355.7,3685,False
Xenopus laevi,355.7,3687,False
Xenopus laevi,355.7,3688,False
Xenopus laevi,355.7,3689,False
Xenopus laevi,355.7,3690,False
Xenopus laevi,355.7,3691,False
Xenopus laevi,355.7,3693,False
Xenopus tropicalis,355.7,4221,False
Xenopus tropicalis,355.7,8903,False
Xenopus tropicalis,355.7,3638,False
Xenopus tropicalis,355.7,926,False
Xenopus tropicalis,355.7,3627,False
Xenopus tropicalis,355.7,3602,False
Xenopus tropicalis,355.7,5705,False
Xenopus tropicalis,355.7,2208,False
Xenopus tropicalis,355.7,15065,False
Xenopus tropicalis,355.7,12857,False
Xenopus tropicalis,355.7,3667,False
Xenopus tropicalis,355.7,15020,False
Xenopus tropicalis,355.7,15022,False
Xenopus tropicalis,355.7,15079,False
Xenopus tropicalis,355.7,3673,False
Xenopus tropicalis,355.7,3678,False
Xenopus tropicalis,355.7,3684,False
Xenopus tropicalis,355.7,3686,False
Xenopus tropicalis,355.7,14387,False
Xenopus tropicalis,355.7,15074,False
Xenopus tropicalis,355.7,3674,False
Xenopus tropicalis,355.7,3681,False
Xenopus tropicalis,355.7,3683,False
Xenopus tropicalis,355.7,3670,False
Xenopus tropicalis,355.7,3671,False
Xenopus tropicalis,355.7,3679,False
Xenopus tropicalis,355.7,3682,False
Xenopus tropicalis,355.7,3692,False
Xenopus tropicalis,355.7,3666,False
Xenopus tropicalis,355.7,3668,False
Xenopus tropicalis,355.7,3669,False
Xenopus tropicalis,355.7,3672,False
Xenopus tropicalis,355.7,3675,False
Xenopus tropicalis,355.7,3676,False
Xenopus tropicalis,355.7,3677,False
Xenopus tropicalis,355.7,3680,False
Xenopus tropicalis,355.7,3685,False
Xenopus tropicalis,355.7,3687,False
Xenopus tropicalis,355.7,3688,False
Xenopus tropicalis,355.7,3689,False
Xenopus tropicalis,355.7,3690,False
Xenopus tropicalis,355.7,3691,False
Xenopus tropicalis,355.7,3693,False
Acanthisitta chloris,320.5,4221,False
Acanthisitta chloris,320.5,8903,False
Acanthisitta chloris,320.5,3638,True
Acanthisitta chloris,320.5,926,False
Acanthisitta chloris,320.5,3627,False
Acanthisitta chloris,320.5,3602,False
Acanthisitta chloris,320.5,5705,False
Acanthisitta chloris,320.5,2208,False
Acanthisitta chloris,320.5,15065,False
Acanthisitta chloris,320.5,12857,False
Acanthisitta chloris,320.5,3667,False
Acanthisitta chloris,320.5,15020,False
Acanthisitta chloris,320.5,15022,False
Acanthisitta chloris,320.5,15079,False
Acanthisitta chloris,320.5,3673,False
Acanthisitta chloris,320.5,3678,False
Acanthisitta chloris,320.5,3684,False
Acanthisitta chloris,320.5,3686,False
Acanthisitta chloris,320.5,14387,False
Acanthisitta chloris,320.5,15074,False
Acanthisitta chloris,320.5,3674,False
Acanthisitta chloris,320.5,3681,False
Acanthisitta chloris,320.5,3683,False
Acanthisitta chloris,320.5,3670,False
Acanthisitta chloris,320.5,3671,False
Acanthisitta chloris,320.5,3679,False
Acanthisitta chloris,320.5,3682,False
Acanthisitta chloris,320.5,3692,False
Acanthisitta chloris,320.5,3666,False
Acanthisitta chloris,320.5,3668,False
Acanthisitta chloris,320.5,3669,False
Acanthisitta chloris,320.5,3672,False
Acanthisitta chloris,320.5,3675,False
Acanthisitta chloris,320.5,3676,False
Acanthisitta chloris,320.5,3677,False
Acanthisitta chloris,320.5,3680,False
Acanthisitta chloris,320.5,3685,False
Acanthisitta chloris,320.5,3687,False
Acanthisitta chloris,320.5,3688,False
Acanthisitta chloris,320.5,3689,False
Acanthisitta chloris,320.5,3690,False
Acanthisitta chloris,320.5,3691,False
Acanthisitta chloris,320.5,3693,False
Alligator mississippiensis,320.5,4221,True
Alligator mississippiensis,320.5,8903,True
Alligator mississippiensis,320.5,3638,True
Alligator mississippiensis,320.5,926,True
Alligator mississippiensis,320.5,3627,True
Alligator mississippiensis,320.5,3602,True
Alligator mississippiensis,320.5,5705,True
Alligator mississippiensis,320.5,2208,False
Alligator mississippiensis,320.5,15065,False
Alligator mississippiensis,320.5,12857,False
Alligator mississippiensis,320.5,3667,False
Alligator mississippiensis,320.5,15020,False
Alligator mississippiensis,320.5,15022,False
Alligator mississippiensis,320.5,15079,False
Alligator mississippiensis,320.5,3673,False
Alligator mississippiensis,320.5,3678,False
Alligator mississippiensis,320.5,3684,False
Alligator mississippiensis,320.5,3686,False
Alligator mississippiensis,320.5,14387,False
Alligator mississippiensis,320.5,15074,False
Alligator mississippiensis,320.5,3674,False
Alligator mississippiensis,320.5,3681,False
Alligator mississippiensis,320.5,3683,False
Alligator mississippiensis,320.5,3670,False
Alligator mississippiensis,320.5,3671,False
Alligator mississippiensis,320.5,3679,False
Alligator mississippiensis,320.5,3682,False
Alligator mississippiensis,320.5,3692,False
Alligator mississippiensis,320.5,3666,False
Alligator mississippiensis,320.5,3668,False
Alligator mississippiensis,320.5,3669,False
Alligator mississippiensis,320.5,3672,False
Alligator mississippiensis,320.5,3675,False
Alligator mississippiensis,320.5,3676,False
Alligator mississippiensis,320.5,3677,False
Alligator mississippiensis,320.5,3680,False
Alligator mississippiensis,320.5,3685,False
Alligator mississippiensis,320.5,3687,False
Alligator mississippiensis,320.5,3688,False
Alligator mississippiensis,320.5,3689,False
Alligator mississippiensis,320.5,3690,False
Alligator mississippiensis,320.5,3691,False
Alligator mississippiensis,320.5,3693,False
Alligator sinensis,320.5,4221,True
Alligator sinensis,320.5,8903,True
Alligator sinensis,320.5,3638,True
Alligator sinensis,320.5,926,True
Alligator sinensis,320.5,3627,True
Alligator sinensis,320.5,3602,True
Alligator sinensis,320.5,5705,True
Alligator sinensis,320.5,2208,False
Alligator sinensis,320.5,15065,False
Alligator sinensis,320.5,12857,False
Alligator sinensis,320.5,3667,False
Alligator sinensis,320.5,15020,False
Alligator sinensis,320.5,15022,False
Alligator sinensis,320.5,15079,False
Alligator sinensis,320.5,3673,False
Alligator sinensis,320.5,3678,False
Alligator sinensis,320.5,3684,False
Alligator sinensis,320.5,3686,False
Alligator sinensis,320.5,14387,False
Alligator sinensis,320.5,15074,False
Alligator sinensis,320.5,3674,False
Alligator sinensis,320.5,3681,False
Alligator sinensis,320.5,3683,False
Alligator sinensis,320.5,3670,False
Alligator sinensis,320.5,3671,False
Alligator sinensis,320.5,3679,False
Alligator sinensis,320.5,3682,False
Alligator sinensis,320.5,3692,False
Alligator sinensis,320.5,3666,False
Alligator sinensis,320.5,3668,False
Alligator sinensis,320.5,3669,False
Alligator sinensis,320.5,3672,False
Alligator sinensis,320.5,3675,False
Alligator sinensis,320.5,3676,False
Alligator sinensis,320.5,3677,False
Alligator sinensis,320.5,3680,False
Alligator sinensis,320.5,3685,False
Alligator sinensis,320.5,3687,False
Alligator sinensis,320.5,3688,False
Alligator sinensis,320.5,3689,False
Alligator sinensis,320.5,3690,False
Alligator sinensis,320.5,3691,False
Alligator sinensis,320.5,3693,False
Amazona vittata,320.5,4221,True
Amazona vittata,320.5,8903,True
Amazona vittata,320.5,3638,True
Amazona vittata,320.5,926,True
Amazona vittata,320.5,3627,False
Amazona vittata,320.5,3602,False
Amazona vittata,320.5,5705,False
Amazona vittata,320.5,2208,False
Amazona vittata,320.5,15065,False
Amazona vittata,320.5,12857,False
Amazona vittata,320.5,3667,False
Amazona vittata,320.5,15020,False
Amazona vittata,320.5,15022,False
Amazona vittata,320.5,15079,False
Amazona vittata,320.5,3673,False
Amazona vittata,320.5,3678,False
Amazona vittata,320.5,3684,False
Amazona vittata,320.5,3686,False
Amazona vittata,320.5,14387,False
Amazona vittata,320.5,15074,False
Amazona vittata,320.5,3674,False
Amazona vittata,320.5,3681,False
Amazona vittata,320.5,3683,False
Amazona vittata,320.5,3670,False
Amazona vittata,320.5,3671,False
Amazona vittata,320.5,3679,False
Amazona vittata,320.5,3682,False
Amazona vittata,320.5,3692,False
Amazona vittata,320.5,3666,False
Amazona vittata,320.5,3668,False
Amazona vittata,320.5,3669,False
Amazona vittata,320.5,3672,False
Amazona vittata,320.5,3675,False
Amazona vittata,320.5,3676,False
Amazona vittata,320.5,3677,False
Amazona vittata,320.5,3680,False
Amazona vittata,320.5,3685,False
Amazona vittata,320.5,3687,False
Amazona vittata,320.5,3688,False
Amazona vittata,320.5,3689,False
Amazona vittata,320.5,3690,False
Amazona vittata,320.5,3691,False
Amazona vittata,320.5,3693,False
Anas platyrhynchos,320.5,4221,True
Anas platyrhynchos,320.5,8903,False
Anas platyrhynchos,320.5,3638,True
Anas platyrhynchos,320.5,926,True
Anas platyrhynchos,320.5,3627,False
Anas platyrhynchos,320.5,3602,False
Anas platyrhynchos,320.5,5705,False
Anas platyrhynchos,320.5,2208,False
Anas platyrhynchos,320.5,15065,False
Anas platyrhynchos,320.5,12857,False
Anas platyrhynchos,320.5,3667,False
Anas platyrhynchos,320.5,15020,False
Anas platyrhynchos,320.5,15022,False
Anas platyrhynchos,320.5,15079,False
Anas platyrhynchos,320.5,3673,False
Anas platyrhynchos,320.5,3678,False
Anas platyrhynchos,320.5,3684,False
Anas platyrhynchos,320.5,3686,False
Anas platyrhynchos,320.5,14387,False
Anas platyrhynchos,320.5,15074,False
Anas platyrhynchos,320.5,3674,False
Anas platyrhynchos,320.5,3681,False
Anas platyrhynchos,320.5,3683,False
Anas platyrhynchos,320.5,3670,False
Anas platyrhynchos,320.5,3671,False
Anas platyrhynchos,320.5,3679,False
Anas platyrhynchos,320.5,3682,False
Anas platyrhynchos,320.5,3692,False
Anas platyrhynchos,320.5,3666,False
Anas platyrhynchos,320.5,3668,False
Anas platyrhynchos,320.5,3669,False
Anas platyrhynchos,320.5,3672,False
Anas platyrhynchos,320.5,3675,False
Anas platyrhynchos,320.5,3676,False
Anas platyrhynchos,320.5,3677,False
Anas platyrhynchos,320.5,3680,False
Anas platyrhynchos,320.5,3685,False
Anas platyrhynchos,320.5,3687,False
Anas platyrhynchos,320.5,3688,False
Anas platyrhynchos,320.5,3689,False
Anas platyrhynchos,320.5,3690,False
Anas platyrhynchos,320.5,3691,False
Anas platyrhynchos,320.5,3693,False
Anolis carolinensis,320.5,4221,True
Anolis carolinensis,320.5,8903,True
Anolis carolinensis,320.5,3638,True
Anolis carolinensis,320.5,926,True
