Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,5129,False
Latimeria chalumnae,411.9,3368,False
Latimeria chalumnae,411.9,12690,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,5129,False
Nanorana parkeri,355.7,3368,False
Nanorana parkeri,355.7,12690,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,5129,False
Xenopus laevi,355.7,3368,False
Xenopus laevi,355.7,12690,False
Xenopus tropicalis,355.7,3638,False
Xenopus tropicalis,355.7,5129,False
Xenopus tropicalis,355.7,3368,False
Xenopus tropicalis,355.7,12690,False
Acanthisitta chloris,320.5,3638,True
Acanthisitta chloris,320.5,5129,False
Acanthisitta chloris,320.5,3368,False
Acanthisitta chloris,320.5,12690,False
Alligator mississippiensis,320.5,3638,True
Alligator mississippiensis,320.5,5129,True
Alligator mississippiensis,320.5,3368,False
Alligator mississippiensis,320.5,12690,False
Alligator sinensis,320.5,3638,True
Alligator sinensis,320.5,5129,True
Alligator sinensis,320.5,3368,False
Alligator sinensis,320.5,12690,False
Amazona vittata,320.5,3638,True
Amazona vittata,320.5,5129,False
Amazona vittata,320.5,3368,False
Amazona vittata,320.5,12690,False
Anas platyrhynchos,320.5,3638,True
Anas platyrhynchos,320.5,5129,True
Anas platyrhynchos,320.5,3368,False
Anas platyrhynchos,320.5,12690,False
Anolis carolinensis,320.5,3638,True
Anolis carolinensis,320.5,5129,False
Anolis carolinensis,320.5,3368,False
Anolis carolinensis,320.5,12690,False
Anser cygnoides domesticus,320.5,3638,False
Anser cygnoides domesticus,320.5,5129,True
Anser cygnoides domesticus,320.5,3368,False
Anser cygnoides domesticus,320.5,12690,False
Antrostomus carolinensis,320.5,3638,False
Antrostomus carolinensis,320.5,5129,True
Antrostomus carolinensis,320.5,3368,False
Antrostomus carolinensis,320.5,12690,False
Apalone spinifera,320.5,3638,True
Apalone spinifera,320.5,5129,False
Apalone spinifera,320.5,3368,False
Apalone spinifera,320.5,12690,False
Aptenodytes forsteri,320.5,3638,True
Aptenodytes forsteri,320.5,5129,True
Aptenodytes forsteri,320.5,3368,False
Aptenodytes forsteri,320.5,12690,False
Apteryx australis mantelli,320.5,3638,True
Apteryx australis mantelli,320.5,5129,False
Apteryx australis mantelli,320.5,3368,False
Apteryx australis mantelli,320.5,12690,False
Aquila chrysaetos,320.5,3638,True
Aquila chrysaetos,320.5,5129,True
Aquila chrysaetos,320.5,3368,False
Aquila chrysaetos,320.5,12690,False
Ara macao,320.5,3638,True
Ara macao,320.5,5129,False
Ara macao,320.5,3368,False
Ara macao,320.5,12690,False
Balearica regulorum gibbericeps,320.5,3638,True
Balearica regulorum gibbericeps,320.5,5129,False
Balearica regulorum gibbericeps,320.5,3368,True
Balearica regulorum gibbericeps,320.5,12690,False
Calypte anna,320.5,3638,True
Calypte anna,320.5,5129,True
Calypte anna,320.5,3368,False
Calypte anna,320.5,12690,False
Caprimulgus carolinensis,320.5,3638,True
Caprimulgus carolinensis,320.5,5129,True
Caprimulgus carolinensis,320.5,3368,False
Caprimulgus carolinensis,320.5,12690,False
Cariama cristata,320.5,3638,True
Cariama cristata,320.5,5129,True
Cariama cristata,320.5,3368,True
Cariama cristata,320.5,12690,False
Cathartes aura,320.5,3638,True
Cathartes aura,320.5,5129,False
Cathartes aura,320.5,3368,False
Cathartes aura,320.5,12690,False
Chaetura pelagica,320.5,3638,True
Chaetura pelagica,320.5,5129,True
Chaetura pelagica,320.5,3368,False
Chaetura pelagica,320.5,12690,False
