Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,1046,False
Latimeria chalumnae,411.9,11467,False
Latimeria chalumnae,411.9,1454,False
Latimeria chalumnae,411.9,14844,False
Latimeria chalumnae,411.9,9981,False
Latimeria chalumnae,411.9,5264,False
Latimeria chalumnae,411.9,13075,False
Latimeria chalumnae,411.9,3956,False
Latimeria chalumnae,411.9,2137,False
Latimeria chalumnae,411.9,1216,False
Latimeria chalumnae,411.9,4609,False
Latimeria chalumnae,411.9,8380,False
Latimeria chalumnae,411.9,6036,False
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,11468,False
Latimeria chalumnae,411.9,6061,False
Latimeria chalumnae,411.9,1290,False
Latimeria chalumnae,411.9,3627,False
Latimeria chalumnae,411.9,10917,False
Latimeria chalumnae,411.9,10898,False
Latimeria chalumnae,411.9,10899,False
Latimeria chalumnae,411.9,10900,False
Latimeria chalumnae,411.9,10901,False
Latimeria chalumnae,411.9,10902,False
Latimeria chalumnae,411.9,10903,False
Latimeria chalumnae,411.9,10904,False
Latimeria chalumnae,411.9,10905,False
Latimeria chalumnae,411.9,10906,False
Latimeria chalumnae,411.9,10907,False
Latimeria chalumnae,411.9,10908,False
Latimeria chalumnae,411.9,10909,False
Latimeria chalumnae,411.9,10910,False
Latimeria chalumnae,411.9,10911,False
Latimeria chalumnae,411.9,10912,False
Latimeria chalumnae,411.9,10913,False
Latimeria chalumnae,411.9,10914,False
Latimeria chalumnae,411.9,10915,False
Latimeria chalumnae,411.9,10916,False
Latimeria chalumnae,411.9,10918,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,1046,False
Nanorana parkeri,355.7,11467,False
Nanorana parkeri,355.7,1454,False
Nanorana parkeri,355.7,14844,False
Nanorana parkeri,355.7,9981,False
Nanorana parkeri,355.7,5264,False
Nanorana parkeri,355.7,13075,False
Nanorana parkeri,355.7,3956,False
Nanorana parkeri,355.7,2137,False
Nanorana parkeri,355.7,1216,False
Nanorana parkeri,355.7,4609,False
Nanorana parkeri,355.7,8380,False
Nanorana parkeri,355.7,6036,False
Nanorana parkeri,355.7,706,False
Nanorana parkeri,355.7,11468,False
Nanorana parkeri,355.7,6061,False
Nanorana parkeri,355.7,1290,False
Nanorana parkeri,355.7,3627,False
Nanorana parkeri,355.7,10917,False
Nanorana parkeri,355.7,10898,False
Nanorana parkeri,355.7,10899,False
Nanorana parkeri,355.7,10900,False
Nanorana parkeri,355.7,10901,False
Nanorana parkeri,355.7,10902,False
Nanorana parkeri,355.7,10903,False
Nanorana parkeri,355.7,10904,False
Nanorana parkeri,355.7,10905,False
Nanorana parkeri,355.7,10906,False
Nanorana parkeri,355.7,10907,False
Nanorana parkeri,355.7,10908,False
Nanorana parkeri,355.7,10909,False
Nanorana parkeri,355.7,10910,False
Nanorana parkeri,355.7,10911,False
Nanorana parkeri,355.7,10912,False
Nanorana parkeri,355.7,10913,False
Nanorana parkeri,355.7,10914,False
Nanorana parkeri,355.7,10915,False
Nanorana parkeri,355.7,10916,False
Nanorana parkeri,355.7,10918,False
Xenopus laevi,355.7,4221,False
Xenopus laevi,355.7,8903,False
Xenopus laevi,355.7,1046,False
Xenopus laevi,355.7,11467,False
Xenopus laevi,355.7,1454,False
Xenopus laevi,355.7,14844,False
Xenopus laevi,355.7,9981,False
Xenopus laevi,355.7,5264,False
Xenopus laevi,355.7,13075,False
Xenopus laevi,355.7,3956,False
Xenopus laevi,355.7,2137,False
Xenopus laevi,355.7,1216,False
Xenopus laevi,355.7,4609,False
Xenopus laevi,355.7,8380,False
Xenopus laevi,355.7,6036,False
Xenopus laevi,355.7,706,False
Xenopus laevi,355.7,11468,False
Xenopus laevi,355.7,6061,False
Xenopus laevi,355.7,1290,False
Xenopus laevi,355.7,3627,False
Xenopus laevi,355.7,10917,False
Xenopus laevi,355.7,10898,False
Xenopus laevi,355.7,10899,False
Xenopus laevi,355.7,10900,False
Xenopus laevi,355.7,10901,False
Xenopus laevi,355.7,10902,False
Xenopus laevi,355.7,10903,False
Xenopus laevi,355.7,10904,False
Xenopus laevi,355.7,10905,False
Xenopus laevi,355.7,10906,False
Xenopus laevi,355.7,10907,False
Xenopus laevi,355.7,10908,False
Xenopus laevi,355.7,10909,False
Xenopus laevi,355.7,10910,False
Xenopus laevi,355.7,10911,False
Xenopus laevi,355.7,10912,False
Xenopus laevi,355.7,10913,False
Xenopus laevi,355.7,10914,False
Xenopus laevi,355.7,10915,False
Xenopus laevi,355.7,10916,False
Xenopus laevi,355.7,10918,False
Xenopus tropicalis,355.7,4221,False
Xenopus tropicalis,355.7,8903,False
Xenopus tropicalis,355.7,1046,False
Xenopus tropicalis,355.7,11467,False
Xenopus tropicalis,355.7,1454,False
Xenopus tropicalis,355.7,14844,False
Xenopus tropicalis,355.7,9981,False
Xenopus tropicalis,355.7,5264,False
Xenopus tropicalis,355.7,13075,False
Xenopus tropicalis,355.7,3956,False
Xenopus tropicalis,355.7,2137,False
Xenopus tropicalis,355.7,1216,False
Xenopus tropicalis,355.7,4609,False
Xenopus tropicalis,355.7,8380,False
Xenopus tropicalis,355.7,6036,False
Xenopus tropicalis,355.7,706,False
Xenopus tropicalis,355.7,11468,False
Xenopus tropicalis,355.7,6061,False
Xenopus tropicalis,355.7,1290,False
Xenopus tropicalis,355.7,3627,False
Xenopus tropicalis,355.7,10917,False
Xenopus tropicalis,355.7,10898,False
Xenopus tropicalis,355.7,10899,False
Xenopus tropicalis,355.7,10900,False
Xenopus tropicalis,355.7,10901,False
Xenopus tropicalis,355.7,10902,False
Xenopus tropicalis,355.7,10903,False
Xenopus tropicalis,355.7,10904,False
Xenopus tropicalis,355.7,10905,False
Xenopus tropicalis,355.7,10906,False
Xenopus tropicalis,355.7,10907,False
Xenopus tropicalis,355.7,10908,False
Xenopus tropicalis,355.7,10909,False
Xenopus tropicalis,355.7,10910,False
Xenopus tropicalis,355.7,10911,False
Xenopus tropicalis,355.7,10912,False
Xenopus tropicalis,355.7,10913,False
Xenopus tropicalis,355.7,10914,False
Xenopus tropicalis,355.7,10915,False
Xenopus tropicalis,355.7,10916,False
Xenopus tropicalis,355.7,10918,False
Acanthisitta chloris,320.5,4221,False
Acanthisitta chloris,320.5,8903,False
Acanthisitta chloris,320.5,1046,False
Acanthisitta chloris,320.5,11467,False
Acanthisitta chloris,320.5,1454,False
Acanthisitta chloris,320.5,14844,False
Acanthisitta chloris,320.5,9981,False
Acanthisitta chloris,320.5,5264,False
Acanthisitta chloris,320.5,13075,False
Acanthisitta chloris,320.5,3956,False
Acanthisitta chloris,320.5,2137,False
Acanthisitta chloris,320.5,1216,False
Acanthisitta chloris,320.5,4609,False
Acanthisitta chloris,320.5,8380,False
Acanthisitta chloris,320.5,6036,False
Acanthisitta chloris,320.5,706,True
Acanthisitta chloris,320.5,11468,False
Acanthisitta chloris,320.5,6061,False
Acanthisitta chloris,320.5,1290,False
Acanthisitta chloris,320.5,3627,False
Acanthisitta chloris,320.5,10917,False
Acanthisitta chloris,320.5,10898,False
Acanthisitta chloris,320.5,10899,False
Acanthisitta chloris,320.5,10900,False
Acanthisitta chloris,320.5,10901,False
Acanthisitta chloris,320.5,10902,False
Acanthisitta chloris,320.5,10903,False
Acanthisitta chloris,320.5,10904,False
Acanthisitta chloris,320.5,10905,False
Acanthisitta chloris,320.5,10906,False
Acanthisitta chloris,320.5,10907,False
Acanthisitta chloris,320.5,10908,False
Acanthisitta chloris,320.5,10909,False
Acanthisitta chloris,320.5,10910,False
Acanthisitta chloris,320.5,10911,False
Acanthisitta chloris,320.5,10912,False
Acanthisitta chloris,320.5,10913,False
Acanthisitta chloris,320.5,10914,False
Acanthisitta chloris,320.5,10915,False
Acanthisitta chloris,320.5,10916,False
Acanthisitta chloris,320.5,10918,False
Alligator mississippiensis,320.5,4221,True
Alligator mississippiensis,320.5,8903,True
Alligator mississippiensis,320.5,1046,False
Alligator mississippiensis,320.5,11467,False
Alligator mississippiensis,320.5,1454,False
Alligator mississippiensis,320.5,14844,False
Alligator mississippiensis,320.5,9981,False
Alligator mississippiensis,320.5,5264,False
Alligator mississippiensis,320.5,13075,False
Alligator mississippiensis,320.5,3956,False
Alligator mississippiensis,320.5,2137,False
Alligator mississippiensis,320.5,1216,False
Alligator mississippiensis,320.5,4609,False
Alligator mississippiensis,320.5,8380,False
Alligator mississippiensis,320.5,6036,False
Alligator mississippiensis,320.5,706,False
Alligator mississippiensis,320.5,11468,False
Alligator mississippiensis,320.5,6061,False
Alligator mississippiensis,320.5,1290,False
Alligator mississippiensis,320.5,3627,True
Alligator mississippiensis,320.5,10917,False
Alligator mississippiensis,320.5,10898,False
Alligator mississippiensis,320.5,10899,False
Alligator mississippiensis,320.5,10900,False
Alligator mississippiensis,320.5,10901,False
Alligator mississippiensis,320.5,10902,False
Alligator mississippiensis,320.5,10903,False
Alligator mississippiensis,320.5,10904,False
Alligator mississippiensis,320.5,10905,False
Alligator mississippiensis,320.5,10906,False
Alligator mississippiensis,320.5,10907,False
Alligator mississippiensis,320.5,10908,False
Alligator mississippiensis,320.5,10909,False
Alligator mississippiensis,320.5,10910,False
Alligator mississippiensis,320.5,10911,False
Alligator mississippiensis,320.5,10912,False
Alligator mississippiensis,320.5,10913,False
Alligator mississippiensis,320.5,10914,False
Alligator mississippiensis,320.5,10915,False
Alligator mississippiensis,320.5,10916,False
Alligator mississippiensis,320.5,10918,False
Alligator sinensis,320.5,4221,True
Alligator sinensis,320.5,8903,True
Alligator sinensis,320.5,1046,False
Alligator sinensis,320.5,11467,False
Alligator sinensis,320.5,1454,False
Alligator sinensis,320.5,14844,False
Alligator sinensis,320.5,9981,False
Alligator sinensis,320.5,5264,False
Alligator sinensis,320.5,13075,False
Alligator sinensis,320.5,3956,False
Alligator sinensis,320.5,2137,False
Alligator sinensis,320.5,1216,False
Alligator sinensis,320.5,4609,False
Alligator sinensis,320.5,8380,False
Alligator sinensis,320.5,6036,False
Alligator sinensis,320.5,706,False
Alligator sinensis,320.5,11468,False
Alligator sinensis,320.5,6061,True
Alligator sinensis,320.5,1290,False
Alligator sinensis,320.5,3627,True
Alligator sinensis,320.5,10917,False
Alligator sinensis,320.5,10898,False
Alligator sinensis,320.5,10899,False
Alligator sinensis,320.5,10900,False
Alligator sinensis,320.5,10901,False
Alligator sinensis,320.5,10902,False
Alligator sinensis,320.5,10903,False
Alligator sinensis,320.5,10904,False
Alligator sinensis,320.5,10905,False
Alligator sinensis,320.5,10906,False
Alligator sinensis,320.5,10907,False
Alligator sinensis,320.5,10908,False
Alligator sinensis,320.5,10909,False
Alligator sinensis,320.5,10910,False
Alligator sinensis,320.5,10911,False
Alligator sinensis,320.5,10912,False
Alligator sinensis,320.5,10913,False
Alligator sinensis,320.5,10914,False
Alligator sinensis,320.5,10915,False
Alligator sinensis,320.5,10916,False
Alligator sinensis,320.5,10918,False
Amazona vittata,320.5,4221,True
Amazona vittata,320.5,8903,True
Amazona vittata,320.5,1046,False
Amazona vittata,320.5,11467,False
Amazona vittata,320.5,1454,False
Amazona vittata,320.5,14844,False
Amazona vittata,320.5,9981,False
Amazona vittata,320.5,5264,False
Amazona vittata,320.5,13075,False
Amazona vittata,320.5,3956,False
Amazona vittata,320.5,2137,False
Amazona vittata,320.5,1216,False
Amazona vittata,320.5,4609,False
Amazona vittata,320.5,8380,False
Amazona vittata,320.5,6036,False
Amazona vittata,320.5,706,True
Amazona vittata,320.5,11468,False
Amazona vittata,320.5,6061,False
Amazona vittata,320.5,1290,False
Amazona vittata,320.5,3627,False
Amazona vittata,320.5,10917,False
Amazona vittata,320.5,10898,False
Amazona vittata,320.5,10899,False
Amazona vittata,320.5,10900,False
Amazona vittata,320.5,10901,False
Amazona vittata,320.5,10902,False
Amazona vittata,320.5,10903,False
Amazona vittata,320.5,10904,False
Amazona vittata,320.5,10905,False
Amazona vittata,320.5,10906,False
Amazona vittata,320.5,10907,False
Amazona vittata,320.5,10908,False
Amazona vittata,320.5,10909,False
Amazona vittata,320.5,10910,False
Amazona vittata,320.5,10911,False
Amazona vittata,320.5,10912,False
Amazona vittata,320.5,10913,False
Amazona vittata,320.5,10914,False
Amazona vittata,320.5,10915,False
Amazona vittata,320.5,10916,False
Amazona vittata,320.5,10918,False
Anas platyrhynchos,320.5,4221,True
Anas platyrhynchos,320.5,8903,False
Anas platyrhynchos,320.5,1046,False
Anas platyrhynchos,320.5,11467,False
Anas platyrhynchos,320.5,1454,False
Anas platyrhynchos,320.5,14844,False
Anas platyrhynchos,320.5,9981,False
Anas platyrhynchos,320.5,5264,False
Anas platyrhynchos,320.5,13075,False
Anas platyrhynchos,320.5,3956,False
Anas platyrhynchos,320.5,2137,False
Anas platyrhynchos,320.5,1216,False
Anas platyrhynchos,320.5,4609,False
Anas platyrhynchos,320.5,8380,False
Anas platyrhynchos,320.5,6036,False
Anas platyrhynchos,320.5,706,True
Anas platyrhynchos,320.5,11468,False
Anas platyrhynchos,320.5,6061,False
Anas platyrhynchos,320.5,1290,False
Anas platyrhynchos,320.5,3627,False
Anas platyrhynchos,320.5,10917,False
Anas platyrhynchos,320.5,10898,False
Anas platyrhynchos,320.5,10899,False
Anas platyrhynchos,320.5,10900,False
Anas platyrhynchos,320.5,10901,False
Anas platyrhynchos,320.5,10902,False
Anas platyrhynchos,320.5,10903,False
Anas platyrhynchos,320.5,10904,False
Anas platyrhynchos,320.5,10905,False
Anas platyrhynchos,320.5,10906,False
Anas platyrhynchos,320.5,10907,False
Anas platyrhynchos,320.5,10908,False
Anas platyrhynchos,320.5,10909,False
Anas platyrhynchos,320.5,10910,False
Anas platyrhynchos,320.5,10911,False
Anas platyrhynchos,320.5,10912,False
Anas platyrhynchos,320.5,10913,False
Anas platyrhynchos,320.5,10914,False
Anas platyrhynchos,320.5,10915,False
Anas platyrhynchos,320.5,10916,False
Anas platyrhynchos,320.5,10918,False
Anolis carolinensis,320.5,4221,True
Anolis carolinensis,320.5,8903,True
Anolis carolinensis,320.5,1046,False
Anolis carolinensis,320.5,11467,False
Anolis carolinensis,320.5,1454,False
Anolis carolinensis,320.5,14844,False
Anolis carolinensis,320.5,9981,False
Anolis carolinensis,320.5,5264,False
Anolis carolinensis,320.5,13075,False
Anolis carolinensis,320.5,3956,False
Anolis carolinensis,320.5,2137,False
Anolis carolinensis,320.5,1216,False
Anolis carolinensis,320.5,4609,False
Anolis carolinensis,320.5,8380,False
Anolis carolinensis,320.5,6036,False
Anolis carolinensis,320.5,706,False
Anolis carolinensis,320.5,11468,False
Anolis carolinensis,320.5,6061,False
Anolis carolinensis,320.5,1290,False
Anolis carolinensis,320.5,3627,True
Anolis carolinensis,320.5,10917,False
Anolis carolinensis,320.5,10898,False
