Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,3638,False
Nanorana parkeri,355.7,3638,False
Xenopus laevi,355.7,3638,False
Xenopus tropicalis,355.7,3638,False
Acanthisitta chloris,320.5,3638,True
Alligator mississippiensis,320.5,3638,True
Alligator sinensis,320.5,3638,True
Amazona vittata,320.5,3638,True
Anas platyrhynchos,320.5,3638,True
Anolis carolinensis,320.5,3638,True
Anser cygnoides domesticus,320.5,3638,False
Antrostomus carolinensis,320.5,3638,False
Apalone spinifera,320.5,3638,True
Aptenodytes forsteri,320.5,3638,True
Apteryx australis mantelli,320.5,3638,True
Aquila chrysaetos,320.5,3638,True
Ara macao,320.5,3638,True
Balearica regulorum gibbericeps,320.5,3638,True
Calypte anna,320.5,3638,True
Caprimulgus carolinensis,320.5,3638,True
Cariama cristata,320.5,3638,True
Cathartes aura,320.5,3638,True
Chaetura pelagica,320.5,3638,True
Charadrius vociferus,320.5,3638,True
Chelonia mydas,320.5,3638,True
Chlamydotis macqueenii,320.5,3638,False
Chrysemys picta bellii,320.5,3638,False
Colinus virginianus,320.5,3638,True
Colius striatus,320.5,3638,False
Columba livia,320.5,3638,True
Corvus brachyrhynchos,320.5,3638,True
Corvus cornix cornix,320.5,3638,True
Crocodylus porosus,320.5,3638,True
Crotalus mitchellii,320.5,3638,True
Cuculus canorus,320.5,3638,True
Egretta garzetta,320.5,3638,True
Eurypyga helias,320.5,3638,True
Falco cherrug,320.5,3638,True
Falco peregrinus,320.5,3638,False
Ficedula albicollis,320.5,3638,True
Fulmarus glacialis,320.5,3638,False
Gallus gallus,320.5,3638,True
Gavia stellata,320.5,3638,True
Gavialis gangeticus,320.5,3638,True
Geospiza fortis,320.5,3638,True
Haliaeetus albicilla,320.5,3638,True
Haliaeetus leucocephalus,320.5,3638,False
Leptosomus discolor,320.5,3638,True
Manacus vitellinus,320.5,3638,True
Meleagris gallopavo,320.5,3638,True
Melopsittacus undulatus,320.5,3638,True
Mesitornis unicolor,320.5,3638,True
Nestor notabilis,320.5,3638,True
Nipponia nippon,320.5,3638,True
Ophiophagus hannah,320.5,3638,True
Ophisaurus gracilis,320.5,3638,True
Opisthocomus hoazin,320.5,3638,True
Pelecanus crispus,320.5,3638,True
Pelodiscus sinensis,320.5,3638,True
Phaethon lepturus,320.5,3638,True
Phalacrocorax carbo,320.5,3638,False
Phoenicopterus ruber ruber,320.5,3638,True
Picoides pubescens,320.5,3638,True
Podiceps cristatus,320.5,3638,True
Pogona vitticeps,320.5,3638,True
Pseudopoces humilis,320.5,3638,True
Pseudopodoces humilis,320.5,3638,True
Pterocles gutturalis,320.5,3638,True
Pygoscelis adeliae,320.5,3638,True
Python molurus bivittatus,320.5,3638,True
Serinus canaria,320.5,3638,True
Struthio camelus australis,320.5,3638,True
Taeniopygia guttata,320.5,3638,True
Tauraco erythrolophus,320.5,3638,True
Thamnophis sirtalis,320.5,3638,True
Tinamus guttatus,320.5,3638,False
Tyto alba,320.5,3638,True
Vipera berus berus,320.5,3638,True
Zonotrichia albicollis,320.5,3638,True
Ornithorhynchus anatinus,179.2,3638,False
Macropus eugenii,163.7,3638,False
Monodelphis domestica,163.7,3638,False
Sarcophilus harrisii,163.7,3638,False
Choloepus hoffmanni,105.0,3638,False
Chrysochloris asiatica,105.0,3638,False
Dasypus novemcinctus,105.0,3638,False
Echinops telfairi,105.0,3638,False
Elephantulus edwardii,105.0,3638,False
Loxodonta africana,105.0,3638,False
Orycteropus afer,105.0,3638,False
Procavia capensis,105.0,3638,False
Trichechus manatus latirostris,105.0,3638,False
Ailuropoda melanoleuca,97.5,3638,False
Balaenoptera acutorostrata scammoni,97.5,3638,False
Balaenoptera bonaerensis,97.5,3638,False
Bison bison bison,97.5,3638,False
Bos indicus,97.5,3638,False
Bos mutus,97.5,3638,False
Bos taurus,97.5,3638,False
Bubalus bubalis,97.5,3638,False
Camelus bactrianus,97.5,3638,False
Camelus dromedarius,97.5,3638,False
Camelus ferus,97.5,3638,False
Canis familiaris,97.5,3638,False
Capra aegagrus,97.5,3638,False
Capra hircus,97.5,3638,False
Capreolus capreolus,97.5,3638,False
Ceratotherium simum,97.5,3638,False
Condylura cristata,97.5,3638,False
Eidolon helvum,97.5,3638,False
Eptesicus fuscus,97.5,3638,False
Equus caballus,97.5,3638,False
Equus przewalskii,97.5,3638,False
Erinaceus europaeus,97.5,3638,False
Felis catus,97.5,3638,False
Leptonychotes weddellii,97.5,3638,False
Lipotes vexillifer,97.5,3638,False
Manis pentadactyla,97.5,3638,False
Megaderma lyra,97.5,3638,False
Mustela putorius furo,97.5,3638,False
Myotis brandtii,97.5,3638,False
Myotis davidii,97.5,3638,False
Myotis lucifugus,97.5,3638,False
Odobenus rosmarus divergens,97.5,3638,False
Orcinus orca,97.5,3638,False
Ovis aries,97.5,3638,False
Ovis aries musimon,97.5,3638,False
