Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,706,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,706,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,706,False
Xenopus tropicalis,355.7,3638,False
Xenopus tropicalis,355.7,706,False
Acanthisitta chloris,320.5,3638,True
Acanthisitta chloris,320.5,706,True
Alligator mississippiensis,320.5,3638,True
Alligator mississippiensis,320.5,706,False
Alligator sinensis,320.5,3638,True
Alligator sinensis,320.5,706,False
Amazona vittata,320.5,3638,True
Amazona vittata,320.5,706,True
Anas platyrhynchos,320.5,3638,True
Anas platyrhynchos,320.5,706,True
Anolis carolinensis,320.5,3638,True
Anolis carolinensis,320.5,706,False
Anser cygnoides domesticus,320.5,3638,False
Anser cygnoides domesticus,320.5,706,True
Antrostomus carolinensis,320.5,3638,False
Antrostomus carolinensis,320.5,706,True
Apalone spinifera,320.5,3638,True
Apalone spinifera,320.5,706,True
Aptenodytes forsteri,320.5,3638,True
Aptenodytes forsteri,320.5,706,True
Apteryx australis mantelli,320.5,3638,True
Apteryx australis mantelli,320.5,706,True
Aquila chrysaetos,320.5,3638,True
Aquila chrysaetos,320.5,706,True
Ara macao,320.5,3638,True
Ara macao,320.5,706,True
Balearica regulorum gibbericeps,320.5,3638,True
Balearica regulorum gibbericeps,320.5,706,True
Calypte anna,320.5,3638,True
Calypte anna,320.5,706,False
Caprimulgus carolinensis,320.5,3638,True
Caprimulgus carolinensis,320.5,706,True
Cariama cristata,320.5,3638,True
Cariama cristata,320.5,706,True
Cathartes aura,320.5,3638,True
Cathartes aura,320.5,706,True
Chaetura pelagica,320.5,3638,True
Chaetura pelagica,320.5,706,True
Charadrius vociferus,320.5,3638,True
Charadrius vociferus,320.5,706,True
Chelonia mydas,320.5,3638,True
Chelonia mydas,320.5,706,True
Chlamydotis macqueenii,320.5,3638,False
Chlamydotis macqueenii,320.5,706,False
Chrysemys picta bellii,320.5,3638,False
Chrysemys picta bellii,320.5,706,True
Colinus virginianus,320.5,3638,True
Colinus virginianus,320.5,706,True
Colius striatus,320.5,3638,False
Colius striatus,320.5,706,True
Columba livia,320.5,3638,True
Columba livia,320.5,706,False
Corvus brachyrhynchos,320.5,3638,True
Corvus brachyrhynchos,320.5,706,True
Corvus cornix cornix,320.5,3638,True
Corvus cornix cornix,320.5,706,True
Crocodylus porosus,320.5,3638,True
Crocodylus porosus,320.5,706,False
Crotalus mitchellii,320.5,3638,True
Crotalus mitchellii,320.5,706,False
Cuculus canorus,320.5,3638,True
Cuculus canorus,320.5,706,True
Egretta garzetta,320.5,3638,True
Egretta garzetta,320.5,706,False
Eurypyga helias,320.5,3638,True
Eurypyga helias,320.5,706,True
Falco cherrug,320.5,3638,True
Falco cherrug,320.5,706,True
Falco peregrinus,320.5,3638,False
Falco peregrinus,320.5,706,False
Ficedula albicollis,320.5,3638,True
Ficedula albicollis,320.5,706,True
Fulmarus glacialis,320.5,3638,False
Fulmarus glacialis,320.5,706,True
Gallus gallus,320.5,3638,True
Gallus gallus,320.5,706,True
Gavia stellata,320.5,3638,True
Gavia stellata,320.5,706,True
Gavialis gangeticus,320.5,3638,True
Gavialis gangeticus,320.5,706,False
Geospiza fortis,320.5,3638,True
Geospiza fortis,320.5,706,True
Haliaeetus albicilla,320.5,3638,True
Haliaeetus albicilla,320.5,706,True
Haliaeetus leucocephalus,320.5,3638,False
Haliaeetus leucocephalus,320.5,706,False
Leptosomus discolor,320.5,3638,True
Leptosomus discolor,320.5,706,False
Manacus vitellinus,320.5,3638,True
Manacus vitellinus,320.5,706,True
Meleagris gallopavo,320.5,3638,True
Meleagris gallopavo,320.5,706,True
Melopsittacus undulatus,320.5,3638,True
Melopsittacus undulatus,320.5,706,True
Mesitornis unicolor,320.5,3638,True
Mesitornis unicolor,320.5,706,True
Nestor notabilis,320.5,3638,True
Nestor notabilis,320.5,706,True
Nipponia nippon,320.5,3638,True
Nipponia nippon,320.5,706,False
Ophiophagus hannah,320.5,3638,True
Ophiophagus hannah,320.5,706,False
Ophisaurus gracilis,320.5,3638,True
Ophisaurus gracilis,320.5,706,False
Opisthocomus hoazin,320.5,3638,True
Opisthocomus hoazin,320.5,706,True
Pelecanus crispus,320.5,3638,True
Pelecanus crispus,320.5,706,True
Pelodiscus sinensis,320.5,3638,True
Pelodiscus sinensis,320.5,706,True
Phaethon lepturus,320.5,3638,True
Phaethon lepturus,320.5,706,False
Phalacrocorax carbo,320.5,3638,False
Phalacrocorax carbo,320.5,706,False
Phoenicopterus ruber ruber,320.5,3638,True
Phoenicopterus ruber ruber,320.5,706,False
Picoides pubescens,320.5,3638,True
Picoides pubescens,320.5,706,True
Podiceps cristatus,320.5,3638,True
Podiceps cristatus,320.5,706,False
Pogona vitticeps,320.5,3638,True
Pogona vitticeps,320.5,706,False
Pseudopoces humilis,320.5,3638,True
Pseudopoces humilis,320.5,706,True
Pseudopodoces humilis,320.5,3638,True
Pseudopodoces humilis,320.5,706,True
Pterocles gutturalis,320.5,3638,True
Pterocles gutturalis,320.5,706,False
Pygoscelis adeliae,320.5,3638,True
Pygoscelis adeliae,320.5,706,True
Python molurus bivittatus,320.5,3638,True
Python molurus bivittatus,320.5,706,False
Serinus canaria,320.5,3638,True
Serinus canaria,320.5,706,True
Struthio camelus australis,320.5,3638,True
Struthio camelus australis,320.5,706,True
Taeniopygia guttata,320.5,3638,True
Taeniopygia guttata,320.5,706,True
Tauraco erythrolophus,320.5,3638,True
Tauraco erythrolophus,320.5,706,False
Thamnophis sirtalis,320.5,3638,True
Thamnophis sirtalis,320.5,706,False
Tinamus guttatus,320.5,3638,False
Tinamus guttatus,320.5,706,False
Tyto alba,320.5,3638,True
Tyto alba,320.5,706,True
Vipera berus berus,320.5,3638,True
Vipera berus berus,320.5,706,False
Zonotrichia albicollis,320.5,3638,True
Zonotrichia albicollis,320.5,706,True
Ornithorhynchus anatinus,179.2,3638,False
Ornithorhynchus anatinus,179.2,706,True
Macropus eugenii,163.7,3638,False
Macropus eugenii,163.7,706,True
Monodelphis domestica,163.7,3638,False
Monodelphis domestica,163.7,706,True
Sarcophilus harrisii,163.7,3638,False
Sarcophilus harrisii,163.7,706,False
Choloepus hoffmanni,105.0,3638,False
Choloepus hoffmanni,105.0,706,False
