Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,1007,False
Latimeria chalumnae,411.9,705,False
Latimeria chalumnae,411.9,4335,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,1007,False
Nanorana parkeri,355.7,705,False
Nanorana parkeri,355.7,4335,False
Xenopus laevi,355.7,4221,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,1007,False
Xenopus laevi,355.7,705,False
Xenopus laevi,355.7,4335,False
Xenopus tropicalis,355.7,4221,False
Xenopus tropicalis,355.7,3638,False
Xenopus tropicalis,355.7,1007,False
Xenopus tropicalis,355.7,705,False
Xenopus tropicalis,355.7,4335,False
Acanthisitta chloris,320.5,4221,False
Acanthisitta chloris,320.5,3638,True
Acanthisitta chloris,320.5,1007,False
Acanthisitta chloris,320.5,705,False
Acanthisitta chloris,320.5,4335,False
Alligator mississippiensis,320.5,4221,True
Alligator mississippiensis,320.5,3638,True
Alligator mississippiensis,320.5,1007,False
Alligator mississippiensis,320.5,705,False
Alligator mississippiensis,320.5,4335,False
Alligator sinensis,320.5,4221,True
Alligator sinensis,320.5,3638,True
Alligator sinensis,320.5,1007,False
Alligator sinensis,320.5,705,False
Alligator sinensis,320.5,4335,False
Amazona vittata,320.5,4221,True
Amazona vittata,320.5,3638,True
Amazona vittata,320.5,1007,False
Amazona vittata,320.5,705,False
Amazona vittata,320.5,4335,False
Anas platyrhynchos,320.5,4221,True
Anas platyrhynchos,320.5,3638,True
Anas platyrhynchos,320.5,1007,True
Anas platyrhynchos,320.5,705,True
Anas platyrhynchos,320.5,4335,False
Anolis carolinensis,320.5,4221,True
Anolis carolinensis,320.5,3638,True
Anolis carolinensis,320.5,1007,False
Anolis carolinensis,320.5,705,False
Anolis carolinensis,320.5,4335,False
Anser cygnoides domesticus,320.5,4221,False
Anser cygnoides domesticus,320.5,3638,False
Anser cygnoides domesticus,320.5,1007,True
Anser cygnoides domesticus,320.5,705,True
Anser cygnoides domesticus,320.5,4335,False
Antrostomus carolinensis,320.5,4221,True
Antrostomus carolinensis,320.5,3638,False
Antrostomus carolinensis,320.5,1007,True
Antrostomus carolinensis,320.5,705,False
Antrostomus carolinensis,320.5,4335,False
Apalone spinifera,320.5,4221,False
Apalone spinifera,320.5,3638,True
Apalone spinifera,320.5,1007,False
Apalone spinifera,320.5,705,False
Apalone spinifera,320.5,4335,False
Aptenodytes forsteri,320.5,4221,True
Aptenodytes forsteri,320.5,3638,True
Aptenodytes forsteri,320.5,1007,True
Aptenodytes forsteri,320.5,705,False
Aptenodytes forsteri,320.5,4335,False
Apteryx australis mantelli,320.5,4221,True
Apteryx australis mantelli,320.5,3638,True
