Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,926,False
Latimeria chalumnae,411.9,13913,False
Latimeria chalumnae,411.9,12124,False
Latimeria chalumnae,411.9,12125,False
Latimeria chalumnae,411.9,12126,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,706,False
Nanorana parkeri,355.7,926,False
Nanorana parkeri,355.7,13913,False
Nanorana parkeri,355.7,12124,False
Nanorana parkeri,355.7,12125,False
Nanorana parkeri,355.7,12126,False
Xenopus laevi,355.7,4221,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,706,False
Xenopus laevi,355.7,926,False
Xenopus laevi,355.7,13913,False
Xenopus laevi,355.7,12124,False
Xenopus laevi,355.7,12125,False
Xenopus laevi,355.7,12126,False
Xenopus tropicalis,355.7,4221,False
Xenopus tropicalis,355.7,3638,False
Xenopus tropicalis,355.7,706,False
Xenopus tropicalis,355.7,926,False
Xenopus tropicalis,355.7,13913,False
Xenopus tropicalis,355.7,12124,False
Xenopus tropicalis,355.7,12125,False
Xenopus tropicalis,355.7,12126,False
Acanthisitta chloris,320.5,4221,False
Acanthisitta chloris,320.5,3638,True
Acanthisitta chloris,320.5,706,True
Acanthisitta chloris,320.5,926,False
Acanthisitta chloris,320.5,13913,False
Acanthisitta chloris,320.5,12124,False
Acanthisitta chloris,320.5,12125,False
Acanthisitta chloris,320.5,12126,False
Alligator mississippiensis,320.5,4221,True
Alligator mississippiensis,320.5,3638,True
Alligator mississippiensis,320.5,706,False
Alligator mississippiensis,320.5,926,True
Alligator mississippiensis,320.5,13913,True
Alligator mississippiensis,320.5,12124,False
Alligator mississippiensis,320.5,12125,False
Alligator mississippiensis,320.5,12126,False
Alligator sinensis,320.5,4221,True
Alligator sinensis,320.5,3638,True
Alligator sinensis,320.5,706,False
Alligator sinensis,320.5,926,True
Alligator sinensis,320.5,13913,True
Alligator sinensis,320.5,12124,False
Alligator sinensis,320.5,12125,False
Alligator sinensis,320.5,12126,False
Amazona vittata,320.5,4221,True
Amazona vittata,320.5,3638,True
Amazona vittata,320.5,706,True
Amazona vittata,320.5,926,True
Amazona vittata,320.5,13913,False
Amazona vittata,320.5,12124,False
Amazona vittata,320.5,12125,False
Amazona vittata,320.5,12126,False
Anas platyrhynchos,320.5,4221,True
Anas platyrhynchos,320.5,3638,True
Anas platyrhynchos,320.5,706,True
Anas platyrhynchos,320.5,926,True
Anas platyrhynchos,320.5,13913,False
Anas platyrhynchos,320.5,12124,False
Anas platyrhynchos,320.5,12125,False
Anas platyrhynchos,320.5,12126,False
Anolis carolinensis,320.5,4221,True
Anolis carolinensis,320.5,3638,True
