Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,6630,False
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,13956,False
Latimeria chalumnae,411.9,13957,False
Latimeria chalumnae,411.9,13958,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,6630,False
Nanorana parkeri,355.7,706,False
Nanorana parkeri,355.7,13956,False
Nanorana parkeri,355.7,13957,False
Nanorana parkeri,355.7,13958,False
Xenopus laevi,355.7,4221,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,6630,False
Xenopus laevi,355.7,706,False
Xenopus laevi,355.7,13956,False
Xenopus laevi,355.7,13957,False
Xenopus laevi,355.7,13958,False
Xenopus tropicalis,355.7,4221,False
Xenopus tropicalis,355.7,3638,False
Xenopus tropicalis,355.7,6630,False
Xenopus tropicalis,355.7,706,False
Xenopus tropicalis,355.7,13956,False
Xenopus tropicalis,355.7,13957,False
Xenopus tropicalis,355.7,13958,False
Acanthisitta chloris,320.5,4221,False
Acanthisitta chloris,320.5,3638,True
Acanthisitta chloris,320.5,6630,False
Acanthisitta chloris,320.5,706,True
Acanthisitta chloris,320.5,13956,False
Acanthisitta chloris,320.5,13957,False
Acanthisitta chloris,320.5,13958,False
Alligator mississippiensis,320.5,4221,True
Alligator mississippiensis,320.5,3638,True
Alligator mississippiensis,320.5,6630,False
Alligator mississippiensis,320.5,706,False
Alligator mississippiensis,320.5,13956,False
Alligator mississippiensis,320.5,13957,False
Alligator mississippiensis,320.5,13958,False
Alligator sinensis,320.5,4221,True
Alligator sinensis,320.5,3638,True
Alligator sinensis,320.5,6630,False
Alligator sinensis,320.5,706,False
Alligator sinensis,320.5,13956,False
Alligator sinensis,320.5,13957,False
Alligator sinensis,320.5,13958,False
Amazona vittata,320.5,4221,True
Amazona vittata,320.5,3638,True
Amazona vittata,320.5,6630,False
Amazona vittata,320.5,706,True
Amazona vittata,320.5,13956,False
Amazona vittata,320.5,13957,False
Amazona vittata,320.5,13958,False
Anas platyrhynchos,320.5,4221,True
Anas platyrhynchos,320.5,3638,True
Anas platyrhynchos,320.5,6630,False
Anas platyrhynchos,320.5,706,True
Anas platyrhynchos,320.5,13956,False
Anas platyrhynchos,320.5,13957,False
Anas platyrhynchos,320.5,13958,False
Anolis carolinensis,320.5,4221,True
Anolis carolinensis,320.5,3638,True
Anolis carolinensis,320.5,6630,False
Anolis carolinensis,320.5,706,False
Anolis carolinensis,320.5,13956,False
Anolis carolinensis,320.5,13957,False
Anolis carolinensis,320.5,13958,False
Anser cygnoides domesticus,320.5,4221,False
Anser cygnoides domesticus,320.5,3638,False
Anser cygnoides domesticus,320.5,6630,False
