Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,1007,False
Latimeria chalumnae,411.9,5129,False
Latimeria chalumnae,411.9,926,False
Latimeria chalumnae,411.9,12092,False
Latimeria chalumnae,411.9,705,False
Latimeria chalumnae,411.9,425,False
Latimeria chalumnae,411.9,426,False
Latimeria chalumnae,411.9,427,False
Latimeria chalumnae,411.9,428,False
Latimeria chalumnae,411.9,429,False
Latimeria chalumnae,411.9,430,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,706,False
Nanorana parkeri,355.7,1007,False
Nanorana parkeri,355.7,5129,False
Nanorana parkeri,355.7,926,False
Nanorana parkeri,355.7,12092,False
Nanorana parkeri,355.7,705,False
Nanorana parkeri,355.7,425,False
Nanorana parkeri,355.7,426,False
Nanorana parkeri,355.7,427,False
Nanorana parkeri,355.7,428,False
Nanorana parkeri,355.7,429,False
Nanorana parkeri,355.7,430,False
Xenopus laevi,355.7,4221,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,706,False
Xenopus laevi,355.7,1007,False
Xenopus laevi,355.7,5129,False
Xenopus laevi,355.7,926,False
Xenopus laevi,355.7,12092,False
Xenopus laevi,355.7,705,False
Xenopus laevi,355.7,425,False
Xenopus laevi,355.7,426,False
Xenopus laevi,355.7,427,False
Xenopus laevi,355.7,428,False
Xenopus laevi,355.7,429,False
Xenopus laevi,355.7,430,False
Xenopus tropicalis,355.7,4221,False
Xenopus tropicalis,355.7,3638,False
Xenopus tropicalis,355.7,706,False
Xenopus tropicalis,355.7,1007,False
Xenopus tropicalis,355.7,5129,False
Xenopus tropicalis,355.7,926,False
Xenopus tropicalis,355.7,12092,False
Xenopus tropicalis,355.7,705,False
Xenopus tropicalis,355.7,425,False
Xenopus tropicalis,355.7,426,False
Xenopus tropicalis,355.7,427,False
Xenopus tropicalis,355.7,428,False
Xenopus tropicalis,355.7,429,False
Xenopus tropicalis,355.7,430,False
Acanthisitta chloris,320.5,4221,False
Acanthisitta chloris,320.5,3638,True
Acanthisitta chloris,320.5,706,True
Acanthisitta chloris,320.5,1007,False
Acanthisitta chloris,320.5,5129,False
Acanthisitta chloris,320.5,926,False
Acanthisitta chloris,320.5,12092,False
Acanthisitta chloris,320.5,705,False
Acanthisitta chloris,320.5,425,False
Acanthisitta chloris,320.5,426,False
Acanthisitta chloris,320.5,427,False
Acanthisitta chloris,320.5,428,False
Acanthisitta chloris,320.5,429,False
Acanthisitta chloris,320.5,430,False
Alligator mississippiensis,320.5,4221,True
Alligator mississippiensis,320.5,3638,True
Alligator mississippiensis,320.5,706,False
Alligator mississippiensis,320.5,1007,False
Alligator mississippiensis,320.5,5129,True
