Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,5129,False
Latimeria chalumnae,411.9,926,False
Latimeria chalumnae,411.9,13913,False
Latimeria chalumnae,411.9,5133,False
Latimeria chalumnae,411.9,2188,False
Latimeria chalumnae,411.9,5132,False
Latimeria chalumnae,411.9,5136,False
Latimeria chalumnae,411.9,5138,False
Latimeria chalumnae,411.9,5134,False
Latimeria chalumnae,411.9,5135,False
Latimeria chalumnae,411.9,5137,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,5129,False
Nanorana parkeri,355.7,926,False
Nanorana parkeri,355.7,13913,False
Nanorana parkeri,355.7,5133,False
Nanorana parkeri,355.7,2188,False
Nanorana parkeri,355.7,5132,False
Nanorana parkeri,355.7,5136,False
Nanorana parkeri,355.7,5138,False
Nanorana parkeri,355.7,5134,False
Nanorana parkeri,355.7,5135,False
Nanorana parkeri,355.7,5137,False
Xenopus laevi,355.7,8903,False
Xenopus laevi,355.7,5129,False
Xenopus laevi,355.7,926,False
Xenopus laevi,355.7,13913,False
Xenopus laevi,355.7,5133,False
Xenopus laevi,355.7,2188,False
Xenopus laevi,355.7,5132,False
Xenopus laevi,355.7,5136,False
Xenopus laevi,355.7,5138,False
Xenopus laevi,355.7,5134,False
Xenopus laevi,355.7,5135,False
Xenopus laevi,355.7,5137,False
Xenopus tropicalis,355.7,8903,False
Xenopus tropicalis,355.7,5129,False
Xenopus tropicalis,355.7,926,False
Xenopus tropicalis,355.7,13913,False
Xenopus tropicalis,355.7,5133,False
Xenopus tropicalis,355.7,2188,False
Xenopus tropicalis,355.7,5132,False
Xenopus tropicalis,355.7,5136,False
Xenopus tropicalis,355.7,5138,False
Xenopus tropicalis,355.7,5134,False
Xenopus tropicalis,355.7,5135,False
Xenopus tropicalis,355.7,5137,False
Acanthisitta chloris,320.5,8903,False
Acanthisitta chloris,320.5,5129,False
Acanthisitta chloris,320.5,926,False
Acanthisitta chloris,320.5,13913,False
Acanthisitta chloris,320.5,5133,False
Acanthisitta chloris,320.5,2188,False
Acanthisitta chloris,320.5,5132,False
Acanthisitta chloris,320.5,5136,False
Acanthisitta chloris,320.5,5138,False
Acanthisitta chloris,320.5,5134,False
Acanthisitta chloris,320.5,5135,False
Acanthisitta chloris,320.5,5137,False
Alligator mississippiensis,320.5,8903,True
Alligator mississippiensis,320.5,5129,True
Alligator mississippiensis,320.5,926,True
Alligator mississippiensis,320.5,13913,True
Alligator mississippiensis,320.5,5133,False
Alligator mississippiensis,320.5,2188,False
Alligator mississippiensis,320.5,5132,False
Alligator mississippiensis,320.5,5136,False
Alligator mississippiensis,320.5,5138,False
Alligator mississippiensis,320.5,5134,False
Alligator mississippiensis,320.5,5135,False
Alligator mississippiensis,320.5,5137,False
Alligator sinensis,320.5,8903,True
Alligator sinensis,320.5,5129,True
Alligator sinensis,320.5,926,True
Alligator sinensis,320.5,13913,True
Alligator sinensis,320.5,5133,False
Alligator sinensis,320.5,2188,False
Alligator sinensis,320.5,5132,False
Alligator sinensis,320.5,5136,False
Alligator sinensis,320.5,5138,False
Alligator sinensis,320.5,5134,False
Alligator sinensis,320.5,5135,False
Alligator sinensis,320.5,5137,False
Amazona vittata,320.5,8903,True
Amazona vittata,320.5,5129,False
Amazona vittata,320.5,926,True
Amazona vittata,320.5,13913,False
Amazona vittata,320.5,5133,False
Amazona vittata,320.5,2188,False
Amazona vittata,320.5,5132,False
Amazona vittata,320.5,5136,False
Amazona vittata,320.5,5138,False
Amazona vittata,320.5,5134,False
Amazona vittata,320.5,5135,False
Amazona vittata,320.5,5137,False
Anas platyrhynchos,320.5,8903,False
Anas platyrhynchos,320.5,5129,True
Anas platyrhynchos,320.5,926,True
Anas platyrhynchos,320.5,13913,False
Anas platyrhynchos,320.5,5133,False
Anas platyrhynchos,320.5,2188,False
Anas platyrhynchos,320.5,5132,False
Anas platyrhynchos,320.5,5136,False
Anas platyrhynchos,320.5,5138,False
Anas platyrhynchos,320.5,5134,False
Anas platyrhynchos,320.5,5135,False
Anas platyrhynchos,320.5,5137,False
Anolis carolinensis,320.5,8903,True
Anolis carolinensis,320.5,5129,False
Anolis carolinensis,320.5,926,True
Anolis carolinensis,320.5,13913,False
Anolis carolinensis,320.5,5133,False
Anolis carolinensis,320.5,2188,False
Anolis carolinensis,320.5,5132,False
Anolis carolinensis,320.5,5136,False
Anolis carolinensis,320.5,5138,False
Anolis carolinensis,320.5,5134,False
Anolis carolinensis,320.5,5135,False
Anolis carolinensis,320.5,5137,False
Anser cygnoides domesticus,320.5,8903,False
Anser cygnoides domesticus,320.5,5129,True
Anser cygnoides domesticus,320.5,926,True
Anser cygnoides domesticus,320.5,13913,False
Anser cygnoides domesticus,320.5,5133,False
Anser cygnoides domesticus,320.5,2188,False
Anser cygnoides domesticus,320.5,5132,False
Anser cygnoides domesticus,320.5,5136,False
Anser cygnoides domesticus,320.5,5138,False
Anser cygnoides domesticus,320.5,5134,False
Anser cygnoides domesticus,320.5,5135,False
Anser cygnoides domesticus,320.5,5137,False
Antrostomus carolinensis,320.5,8903,True
Antrostomus carolinensis,320.5,5129,True
Antrostomus carolinensis,320.5,926,False
Antrostomus carolinensis,320.5,13913,False
Antrostomus carolinensis,320.5,5133,False
Antrostomus carolinensis,320.5,2188,False
Antrostomus carolinensis,320.5,5132,False
Antrostomus carolinensis,320.5,5136,False
Antrostomus carolinensis,320.5,5138,False
Antrostomus carolinensis,320.5,5134,False
Antrostomus carolinensis,320.5,5135,False
Antrostomus carolinensis,320.5,5137,False
Apalone spinifera,320.5,8903,False
Apalone spinifera,320.5,5129,False
Apalone spinifera,320.5,926,False
Apalone spinifera,320.5,13913,False
Apalone spinifera,320.5,5133,False
Apalone spinifera,320.5,2188,False
Apalone spinifera,320.5,5132,False
Apalone spinifera,320.5,5136,False
Apalone spinifera,320.5,5138,False
Apalone spinifera,320.5,5134,False
Apalone spinifera,320.5,5135,False
Apalone spinifera,320.5,5137,False
Aptenodytes forsteri,320.5,8903,False
Aptenodytes forsteri,320.5,5129,True
Aptenodytes forsteri,320.5,926,True
Aptenodytes forsteri,320.5,13913,True
Aptenodytes forsteri,320.5,5133,False
Aptenodytes forsteri,320.5,2188,False
Aptenodytes forsteri,320.5,5132,False
Aptenodytes forsteri,320.5,5136,False
Aptenodytes forsteri,320.5,5138,False
Aptenodytes forsteri,320.5,5134,False
Aptenodytes forsteri,320.5,5135,False
Aptenodytes forsteri,320.5,5137,False
Apteryx australis mantelli,320.5,8903,True
Apteryx australis mantelli,320.5,5129,False
Apteryx australis mantelli,320.5,926,True
Apteryx australis mantelli,320.5,13913,False
Apteryx australis mantelli,320.5,5133,False
Apteryx australis mantelli,320.5,2188,False
Apteryx australis mantelli,320.5,5132,False
Apteryx australis mantelli,320.5,5136,False
Apteryx australis mantelli,320.5,5138,False
Apteryx australis mantelli,320.5,5134,False
Apteryx australis mantelli,320.5,5135,False
Apteryx australis mantelli,320.5,5137,False
Aquila chrysaetos,320.5,8903,False
Aquila chrysaetos,320.5,5129,True
Aquila chrysaetos,320.5,926,True
Aquila chrysaetos,320.5,13913,False
Aquila chrysaetos,320.5,5133,True
Aquila chrysaetos,320.5,2188,False
Aquila chrysaetos,320.5,5132,False
Aquila chrysaetos,320.5,5136,False
Aquila chrysaetos,320.5,5138,False
Aquila chrysaetos,320.5,5134,False
Aquila chrysaetos,320.5,5135,False
Aquila chrysaetos,320.5,5137,False
Ara macao,320.5,8903,False
Ara macao,320.5,5129,False
Ara macao,320.5,926,True
Ara macao,320.5,13913,False
Ara macao,320.5,5133,False
Ara macao,320.5,2188,False
Ara macao,320.5,5132,False
Ara macao,320.5,5136,False
Ara macao,320.5,5138,False
Ara macao,320.5,5134,False
Ara macao,320.5,5135,False
Ara macao,320.5,5137,False
Balearica regulorum gibbericeps,320.5,8903,False
Balearica regulorum gibbericeps,320.5,5129,False
Balearica regulorum gibbericeps,320.5,926,True
Balearica regulorum gibbericeps,320.5,13913,False
Balearica regulorum gibbericeps,320.5,5133,False
Balearica regulorum gibbericeps,320.5,2188,False
Balearica regulorum gibbericeps,320.5,5132,False
Balearica regulorum gibbericeps,320.5,5136,False
Balearica regulorum gibbericeps,320.5,5138,False
Balearica regulorum gibbericeps,320.5,5134,False
Balearica regulorum gibbericeps,320.5,5135,False
Balearica regulorum gibbericeps,320.5,5137,False
Calypte anna,320.5,8903,False
Calypte anna,320.5,5129,True
Calypte anna,320.5,926,False
Calypte anna,320.5,13913,False
Calypte anna,320.5,5133,False
Calypte anna,320.5,2188,False
Calypte anna,320.5,5132,False
Calypte anna,320.5,5136,False
Calypte anna,320.5,5138,False
Calypte anna,320.5,5134,False
Calypte anna,320.5,5135,False
Calypte anna,320.5,5137,False
Caprimulgus carolinensis,320.5,8903,True
Caprimulgus carolinensis,320.5,5129,True
Caprimulgus carolinensis,320.5,926,False
Caprimulgus carolinensis,320.5,13913,False
Caprimulgus carolinensis,320.5,5133,False
Caprimulgus carolinensis,320.5,2188,False
Caprimulgus carolinensis,320.5,5132,False
