Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,1007,False
Latimeria chalumnae,411.9,924,False
Latimeria chalumnae,411.9,12092,False
Latimeria chalumnae,411.9,9977,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,706,False
Nanorana parkeri,355.7,1007,False
Nanorana parkeri,355.7,924,False
Nanorana parkeri,355.7,12092,False
Nanorana parkeri,355.7,9977,False
Xenopus laevi,355.7,4221,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,706,False
Xenopus laevi,355.7,1007,False
Xenopus laevi,355.7,924,False
Xenopus laevi,355.7,12092,False
Xenopus laevi,355.7,9977,False
Xenopus tropicalis,355.7,4221,False
Xenopus tropicalis,355.7,3638,False
Xenopus tropicalis,355.7,706,False
Xenopus tropicalis,355.7,1007,False
Xenopus tropicalis,355.7,924,False
Xenopus tropicalis,355.7,12092,False
Xenopus tropicalis,355.7,9977,False
Acanthisitta chloris,320.5,4221,False
Acanthisitta chloris,320.5,3638,True
Acanthisitta chloris,320.5,706,True
Acanthisitta chloris,320.5,1007,False
Acanthisitta chloris,320.5,924,False
Acanthisitta chloris,320.5,12092,False
Acanthisitta chloris,320.5,9977,False
Alligator mississippiensis,320.5,4221,True
Alligator mississippiensis,320.5,3638,True
Alligator mississippiensis,320.5,706,False
Alligator mississippiensis,320.5,1007,False
Alligator mississippiensis,320.5,924,True
Alligator mississippiensis,320.5,12092,False
Alligator mississippiensis,320.5,9977,False
Alligator sinensis,320.5,4221,True
Alligator sinensis,320.5,3638,True
Alligator sinensis,320.5,706,False
Alligator sinensis,320.5,1007,False
Alligator sinensis,320.5,924,True
Alligator sinensis,320.5,12092,False
Alligator sinensis,320.5,9977,False
Amazona vittata,320.5,4221,True
Amazona vittata,320.5,3638,True
Amazona vittata,320.5,706,True
Amazona vittata,320.5,1007,False
Amazona vittata,320.5,924,False
Amazona vittata,320.5,12092,False
Amazona vittata,320.5,9977,False
Anas platyrhynchos,320.5,4221,True
Anas platyrhynchos,320.5,3638,True
Anas platyrhynchos,320.5,706,True
Anas platyrhynchos,320.5,1007,True
Anas platyrhynchos,320.5,924,False
Anas platyrhynchos,320.5,12092,True
Anas platyrhynchos,320.5,9977,False
Anolis carolinensis,320.5,4221,True
Anolis carolinensis,320.5,3638,True
Anolis carolinensis,320.5,706,False
Anolis carolinensis,320.5,1007,False
Anolis carolinensis,320.5,924,False
Anolis carolinensis,320.5,12092,False
Anolis carolinensis,320.5,9977,False
Anser cygnoides domesticus,320.5,4221,False
Anser cygnoides domesticus,320.5,3638,False
Anser cygnoides domesticus,320.5,706,True
Anser cygnoides domesticus,320.5,1007,True
